Potential (V),Current (A)
1.49970877170563,0.0000143303559525521
1.50317442417145,0.0000156442565639736
1.50817739963531,0.0000164228058565641
1.51317918300629,0.0000171152332768543
1.51816737651825,0.0000178663049155148
1.52317559719086,0.0000185663066076813
1.52817583084106,0.0000192767565749818
1.53316926956177,0.0000200033027795143
1.53817307949066,0.0000207516641239636
1.54317164421082,0.0000215075488085859
1.5481641292572,0.0000222775270231068
1.55317044258118,0.0000230879650189308
1.55815827846527,0.000023894770492916
1.56316936016083,0.0000247381140070502
1.56816434860229,0.0000256371477007633
1.57316863536835,0.0000264657865045592
1.5781557559967,0.0000273107580142096
1.58317160606384,0.0000281973680102965
1.58817052841187,0.0000291280557576101
1.59316694736481,0.0000301178315567086
1.59816658496857,0.0000310934046865441
1.60317492485046,0.0000320915132761002
1.60817158222198,0.0000331455885316245
1.61318480968475,0.0000343101055477746
1.61817383766174,0.000035474917240208
1.62317109107971,0.0000365697123925202
1.62816762924194,0.0000377069882233627
1.63317012786865,0.0000388686967198737
1.63816010951996,0.0000400688441004604
1.64316558837891,0.0000412806657550391
1.64816522598267,0.0000426460210292134
1.65317130088806,0.0000440468138549477
1.65816473960876,0.0000455366680398583
1.66316497325897,0.00004689388879342
1.66815805435181,0.0000483624680782668
1.67316830158234,0.0000499288107675966
1.67816352844238,0.0000515850224473979
1.68316876888275,0.0000532531885255594
1.6881617307663,0.0000549788965145126
1.69316899776459,0.0000567601564398501
1.69816255569458,0.0000586427449889015
1.70316576957703,0.0000605993955105077
1.70815563201904,0.0000625960310571827
1.71316003799438,0.0000646757107460871
1.71815001964569,0.0000668470456730574
1.72315752506256,0.0000691104214638472
1.72815132141113,0.0000714711204636842
1.73314595222473,0.0000738779999664985
1.73815011978149,0.0000763166390242986
1.74314439296722,0.0000789053665357642
1.74814927577972,0.0000816392130218446
1.75315713882446,0.0000845536051201634
1.75814151763916,0.0000876698613865301
1.76314353942871,0.0000905666092876345
1.76815259456635,0.0000936967771849595
1.77315711975098,0.0000970929468167014
1.77815198898315,0.000100430428574327
1.78315770626068,0.000103897305962164
1.7881623506546,0.000107512016256806
1.7931421995163,0.000111356035631616
1.79815316200256,0.000115312643174548
1.80314719676971,0.000119369753520004
1.80814325809479,0.000123732519568875
1.81314945220947,0.000128155952552333
1.81814408302307,0.000132826418848708
1.82315135002136,0.0001377467851853
1.82814466953278,0.000142777906148694
1.83313608169556,0.00014835070760455
1.83813667297363,0.000154082677909173
1.84313261508942,0.00015955489652697
1.84814059734344,0.000165345220011659
1.8531391620636,0.000171254301676527
1.85813808441162,0.000177474954398349
1.86313498020172,0.000184372256626375
1.86813914775848,0.000191486382391304
1.87313938140869,0.000198342022486031
1.87814128398895,0.000205637639737688
1.88314712047577,0.000213565144804306
1.88814032077789,0.000221890601096675
1.89313864707947,0.000230572826694697
1.89814364910126,0.000239046974456869
1.90313649177551,0.000247097719693556
1.90814185142517,0.000256167928455397
1.91313171386719,0.000265888025751337
1.91813540458679,0.000275922880973667
1.92316246032715,0.000285705842543393
1.92816185951233,0.000295953854219988
1.93316614627838,0.000307126669213176
1.93816339969635,0.000318009057082236
1.94316267967224,0.00032947346335277
1.9481543302536,0.000341645150911063
1.95315217971802,0.000353894109139219
1.95815670490265,0.00036651169648394
1.96317338943481,0.000379652687115595
1.96815192699432,0.000393090507714078
1.97315084934235,0.000406990729970858
1.97814881801605,0.000422054581576958
1.98315072059631,0.000436622358392924
1.98813855648041,0.000450972816906869
1.99314558506012,0.000466039986349642
1.99813723564148,0.000481694500194862
2.00315237045288,0.000497411412652582
2.00814509391785,0.000513749429956079
2.01315236091614,0.000530361663550138
2.01815605163574,0.000548108771909028
2.02314448356628,0.00056620454415679
2.02814769744873,0.000583188491873443
2.03313708305359,0.000600417959503829
2.03813648223877,0.000618643534835428
2.04314208030701,0.000638590077869594
2.04814004898071,0.000657094817142934
2.053138256073,0.000675666320603341
2.05814528465271,0.000694898946676403
2.06313467025757,0.000715391070116311
2.06812882423401,0.00073586986400187
2.07312846183777,0.000755682121962309
2.07813215255737,0.000775844964664429
2.08313989639282,0.000796582200564444
2.08813071250916,0.00081778212916106
2.09314250946045,0.000838970765471458
